baseER baseSTAS endsuc endsuc10 endsuc90 freqsuc freq10 freq50 freq90 trajmean traj10 traj50 traj90 trajprop trajpop10 trajpop90
0.125 0.032 0.99 0.99 1 0.98 0.9 1 1 -21 -37 -24 -3 0.07 0.06 0.08
0.125 0.033 0.99 0.99 0.99 0.98 0.9 1 1 -20 -37 -23 -4 0.08 0.07 0.09
0.125 0.034 0.99 0.99 1 0.98 1 1 1 -20 -36 -22 -3 0.07 0.06 0.08
0.125 0.035 0.99 0.99 1 0.98 1 1 1 -19 -36 -22 -3 0.07 0.06 0.08
0.125 0.036 1 0.99 1 0.99 1 1 1 -20 -37 -22 -4 0.06 0.05 0.07
0.125 0.037 1 1 1 0.99 1 1 1 -18 -35 -21 -1 0.09 0.08 0.11
0.125 0.038 1 1 1 0.99 1 1 1 -18 -35 -21 -1 0.09 0.08 0.1
0.125 0.039 1 0.99 1 0.99 1 1 1 -18 -35 -20 -1 0.09 0.08 0.1
0.125 0.04 0.99 0.99 1 0.99 1 1 1 -17 -34 -20 1 0.1 0.09 0.12
0.183 0.003 0 0 0 0.13 0.1 0.1 0.2 -67 -74 -68 -60 0 0 0
0.183 0.041 0.99 0.99 1 0.98 0.9 1 1 -21 -36 -23 -5 0.07 0.06 0.08
0.183 0.001 0 0 0 0.1 0.1 0.1 0.1 -74 -80 -75 -68 0 0 0
0.183 0.002 0 0 0 0.11 0.1 0.1 0.2 -71 -77 -71 -64 0 0 0
0.183 0.004 0 0 0.01 0.15 0.1 0.1 0.2 -64 -72 -64 -55 0 0 0
0.183 0.005 0.02 0.01 0.02 0.17 0.1 0.2 0.2 -60 -69 -61 -51 0 0 0
0.183 0.006 0.05 0.04 0.06 0.2 0.1 0.2 0.2 -57 -67 -58 -47 0 0 0
0.183 0.007 0.09 0.07 0.1 0.24 0.1 0.2 0.4 -55 -64 -55 -45 0 0 0
0.183 0.008 0.15 0.13 0.16 0.28 0.2 0.2 0.5 -52 -62 -52 -41 0 0 0
0.183 0.009 0.23 0.22 0.25 0.33 0.2 0.2 0.6 -50 -61 -51 -38 0 0 0
0.183 0.01 0.31 0.29 0.33 0.39 0.2 0.3 0.7 -48 -59 -49 -35 0 0 0
0.183 0.011 0.41 0.39 0.43 0.46 0.2 0.4 0.81 -46 -58 -47 -33 0 0 0.01
0.183 0.012 0.48 0.46 0.5 0.51 0.2 0.5 0.9 -45 -57 -46 -31 0 0 0.01
0.183 0.013 0.6 0.58 0.62 0.58 0.2 0.6 1 -43 -56 -44 -28 0 0 0
0.183 0.014 0.63 0.62 0.65 0.62 0.2 0.6 1 -41 -54 -42 -27 0 0 0.01
0.183 0.015 0.68 0.66 0.7 0.66 0.3 0.7 1 -40 -54 -42 -25 0 0 0.01
0.183 0.016 0.75 0.73 0.77 0.71 0.39 0.7 1 -38 -52 -40 -24 0.01 0.01 0.01
0.183 0.017 0.78 0.76 0.79 0.74 0.4 0.8 1 -37 -51 -39 -22 0.01 0.01 0.02
0.183 0.018 0.82 0.8 0.83 0.77 0.4 0.8 1 -36 -50 -38 -21 0.01 0.01 0.02
0.183 0.019 0.86 0.84 0.87 0.81 0.5 0.9 1 -35 -49 -37 -21 0.01 0.01 0.02
0.183 0.02 0.88 0.86 0.89 0.82 0.5 0.9 1 -34 -48 -36 -20 0.01 0.01 0.02
0.183 0.021 0.89 0.88 0.9 0.84 0.6 0.9 1 -33 -47 -34 -19 0.02 0.01 0.02
0.183 0.022 0.9 0.89 0.91 0.87 0.6 1 1 -32 -47 -34 -16 0.02 0.01 0.02
0.183 0.023 0.92 0.91 0.93 0.88 0.6 1 1 -31 -46 -33 -15 0.02 0.02 0.03
0.183 0.024 0.94 0.93 0.95 0.9 0.7 1 1 -30 -45 -32 -14 0.02 0.02 0.03
0.183 0.025 0.95 0.94 0.96 0.91 0.7 1 1 -30 -45 -32 -15 0.02 0.02 0.03
0.183 0.026 0.95 0.94 0.96 0.92 0.7 1 1 -29 -44 -31 -13 0.03 0.02 0.04
0.183 0.027 0.96 0.95 0.97 0.92 0.7 1 1 -28 -43 -30 -13 0.03 0.02 0.03
0.183 0.028 0.96 0.96 0.97 0.93 0.8 1 1 -27 -42 -29 -12 0.04 0.03 0.04
0.183 0.029 0.97 0.97 0.98 0.94 0.8 1 1 -28 -42 -29 -12 0.03 0.02 0.03
0.183 0.03 0.97 0.96 0.98 0.95 0.8 1 1 -26 -41 -28 -10 0.04 0.03 0.05
0.183 0.031 0.98 0.98 0.99 0.95 0.8 1 1 -26 -42 -29 -9 0.04 0.03 0.05
0.183 0.032 0.98 0.98 0.99 0.96 0.8 1 1 -25 -40 -28 -10 0.03 0.03 0.04
0.183 0.033 0.98 0.97 0.98 0.96 0.8 1 1 -25 -40 -27 -8 0.04 0.04 0.05
0.183 0.034 0.98 0.98 0.99 0.96 0.8 1 1 -24 -40 -26 -9 0.03 0.02 0.04
0.183 0.035 0.98 0.98 0.99 0.96 0.8 1 1 -24 -40 -26 -9 0.05 0.04 0.06
0.183 0.036 0.98 0.98 0.99 0.97 0.9 1 1 -23 -39 -25 -6 0.05 0.04 0.06
0.183 0.037 0.98 0.98 0.99 0.97 0.9 1 1 -23 -39 -25 -6 0.06 0.05 0.06
0.183 0.038 0.99 0.99 1 0.97 0.9 1 1 -22 -38 -24 -8 0.05 0.04 0.06
0.183 0.039 1 0.99 1 0.97 0.9 1 1 -21 -37 -24 -4 0.06 0.05 0.07
0.183 0.04 1 0.99 1 0.98 0.9 1 1 -21 -37 -23 -6 0.06 0.05 0.07
0 0.003 0.06 0.05 0.06 0.22 0.1 0.2 0.3 -55 -64 -56 -46 0 0 0
0 0.041 1 1 1 1 1 1 1 -8 -27 -12 10 0.22 0.2 0.23
0 0.001 0 0 0.01 0.14 0.1 0.1 0.2 -64 -71 -64 -56 0 0 0
0 0.002 0.01 0.01 0.02 0.17 0.1 0.2 0.2 -59 -67 -60 -51 0 0 0
0 0.004 0.17 0.16 0.19 0.29 0.2 0.2 0.6 -51 -61 -52 -41 0 0 0
0 0.005 0.32 0.31 0.34 0.4 0.2 0.3 0.8 -48 -58 -48 -37 0 0 0
0 0.006 0.47 0.45 0.49 0.5 0.2 0.5 0.9 -44 -56 -46 -32 0 0 0.01
0 0.007 0.61 0.59 0.63 0.6 0.2 0.6 1 -41 -54 -43 -28 0.01 0 0.01
0 0.008 0.73 0.71 0.75 0.7 0.3 0.7 1 -39 -51 -40 -26 0.01 0.01 0.02
0 0.009 0.82 0.8 0.83 0.77 0.5 0.8 1 -36 -50 -38 -22 0.01 0 0.01
0 0.01 0.87 0.86 0.89 0.83 0.5 0.9 1 -35 -48 -36 -21 0.01 0.01 0.02
0 0.011 0.92 0.91 0.93 0.87 0.6 0.9 1 -32 -47 -34 -17 0.01 0.01 0.02
0 0.012 0.94 0.93 0.95 0.89 0.7 1 1 -31 -46 -32 -15 0.02 0.01 0.02
0 0.013 0.94 0.93 0.95 0.92 0.7 1 1 -30 -44 -32 -14 0.03 0.02 0.03
0 0.014 0.96 0.96 0.97 0.94 0.8 1 1 -28 -43 -29 -11 0.03 0.02 0.04
0 0.015 0.97 0.96 0.98 0.95 0.8 1 1 -26 -42 -29 -9 0.04 0.03 0.05
0 0.016 0.98 0.98 0.99 0.96 0.8 1 1 -25 -42 -27 -9 0.05 0.04 0.06
0 0.017 0.99 0.99 0.99 0.97 0.89 1 1 -24 -40 -26 -6 0.05 0.04 0.06
0 0.018 0.99 0.99 0.99 0.97 0.9 1 1 -23 -40 -26 -6 0.06 0.05 0.07
0 0.019 0.99 0.99 1 0.98 0.9 1 1 -22 -38 -24 -5 0.08 0.07 0.09
0 0.02 0.99 0.99 1 0.98 0.9 1 1 -20 -38 -23 -3 0.07 0.06 0.09
0 0.021 1 0.99 1 0.99 1 1 1 -20 -37 -22 -1 0.09 0.08 0.1
0 0.022 1 1 1 0.99 1 1 1 -19 -36 -21 -2 0.09 0.07 0.1
0 0.023 1 0.99 1 0.99 1 1 1 -18 -36 -20 -1 0.09 0.08 0.1
0 0.024 1 0.99 1 0.99 1 1 1 -18 -35 -20 0 0.1 0.08 0.11
0 0.025 1 0.99 1 0.99 1 1 1 -17 -34 -20 1 0.11 0.1 0.12
0 0.026 1 1 1 0.99 1 1 1 -16 -34 -19 1 0.11 0.1 0.12
0 0.027 1 1 1 1 1 1 1 -16 -33 -19 1 0.12 0.1 0.13
0 0.028 1 1 1 1 1 1 1 -14 -33 -18 4 0.13 0.12 0.14
0 0.029 1 1 1 1 1 1 1 -13 -32 -17 5 0.13 0.12 0.15
0 0.03 1 1 1 1 1 1 1 -13 -32 -16 5 0.13 0.12 0.15
0 0.031 1 1 1 1 1 1 1 -12 -30 -15 7 0.16 0.14 0.18
0 0.032 1 1 1 1 1 1 1 -12 -31 -15 7 0.17 0.16 0.19
0 0.033 1 1 1 1 1 1 1 -12 -31 -15 6 0.16 0.15 0.18
0 0.034 1 1 1 1 1 1 1 -11 -29 -15 7 0.17 0.16 0.19
0 0.035 1 1 1 1 1 1 1 -11 -30 -14 7 0.18 0.16 0.2
0 0.036 1 1 1 1 1 1 1 -9 -29 -14 9 0.2 0.18 0.21
0 0.037 1 1 1 1 1 1 1 -10 -30 -13 8 0.18 0.17 0.2
0 0.038 1 1 1 1 1 1 1 -9 -28 -12 8 0.2 0.18 0.22
0 0.039 1 1 1 1 1 1 1 -9 -28 -12 8 0.21 0.2 0.23
0 0.04 1 1 1 1 1 1 1 -8 -28 -13 10 0.23 0.22 0.25
0.01 0.003 0.05 0.04 0.05 0.21 0.1 0.2 0.3 -56 -65 -57 -46 0 0 0
0.01 0.041 1 1 1 1 1 1 1 -10 -29 -13 7 0.19 0.17 0.2
0.01 0.001 0 0 0.01 0.14 0.1 0.1 0.2 -65 -72 -65 -58 0 0 0
0.01 0.002 0.01 0.01 0.02 0.17 0.1 0.2 0.2 -60 -68 -61 -52 0 0 0
0.01 0.004 0.13 0.12 0.15 0.27 0.1 0.2 0.5 -52 -62 -52 -42 0 0 0
0.01 0.005 0.29 0.27 0.31 0.37 0.2 0.3 0.7 -49 -59 -49 -38 0 0 0
0.01 0.006 0.43 0.41 0.45 0.47 0.2 0.4 0.9 -46 -57 -46 -34 0 0 0
0.01 0.007 0.59 0.57 0.61 0.58 0.2 0.6 1 -42 -55 -44 -30 0 0 0
0.01 0.008 0.7 0.68 0.72 0.66 0.3 0.7 1 -40 -53 -41 -25 0.01 0.01 0.01
0.01 0.009 0.79 0.77 0.8 0.75 0.4 0.8 1 -37 -51 -39 -23 0.01 0.01 0.01
0.01 0.01 0.83 0.81 0.85 0.8 0.5 0.8 1 -35 -49 -37 -21 0.01 0.01 0.01
0.01 0.011 0.88 0.86 0.89 0.84 0.6 0.9 1 -34 -48 -35 -19 0.02 0.01 0.02
0.01 0.012 0.93 0.92 0.94 0.88 0.7 1 1 -32 -46 -35 -17 0.01 0.01 0.02
0.01 0.013 0.95 0.94 0.96 0.91 0.7 1 1 -29 -44 -32 -13 0.03 0.02 0.03
0.01 0.014 0.95 0.94 0.96 0.92 0.7 1 1 -29 -45 -32 -12 0.03 0.02 0.04
0.01 0.015 0.96 0.96 0.97 0.95 0.8 1 1 -28 -43 -30 -11 0.03 0.02 0.03
0.01 0.016 0.97 0.97 0.98 0.95 0.8 1 1 -26 -43 -28 -9 0.04 0.04 0.05
0.01 0.017 0.98 0.98 0.99 0.96 0.8 1 1 -25 -42 -27 -6 0.06 0.05 0.07
0.01 0.018 0.99 0.98 0.99 0.97 0.9 1 1 -24 -40 -26 -7 0.05 0.04 0.06
0.01 0.019 0.98 0.98 0.99 0.97 0.9 1 1 -24 -40 -26 -6 0.06 0.05 0.06
0.01 0.02 0.98 0.98 0.99 0.98 0.9 1 1 -22 -39 -24 -4 0.07 0.06 0.08
0.01 0.021 0.99 0.99 1 0.98 0.9 1 1 -20 -38 -24 -3 0.08 0.07 0.09
0.01 0.022 0.99 0.99 1 0.98 1 1 1 -20 -38 -24 -3 0.08 0.07 0.1
0.01 0.023 1 0.99 1 0.99 1 1 1 -19 -37 -21 -1 0.08 0.07 0.09
0.01 0.024 1 1 1 0.99 1 1 1 -18 -36 -21 0 0.1 0.08 0.11
0.01 0.025 0.99 0.99 1 0.99 1 1 1 -18 -35 -20 -1 0.09 0.08 0.1
0.01 0.026 1 1 1 0.99 1 1 1 -16 -34 -18 1 0.11 0.1 0.13
0.01 0.027 1 0.99 1 0.99 1 1 1 -15 -33 -19 3 0.12 0.11 0.14
0.01 0.028 1 0.99 1 0.99 1 1 1 -16 -34 -19 0 0.11 0.09 0.12
0.01 0.029 1 1 1 0.99 1 1 1 -15 -33 -19 3 0.12 0.11 0.13
0.01 0.03 1 0.99 1 1 1 1 1 -15 -33 -18 4 0.15 0.13 0.16
0.01 0.031 1 1 1 1 1 1 1 -14 -33 -16 3 0.14 0.12 0.15
0.01 0.032 1 1 1 1 1 1 1 -13 -32 -18 4 0.14 0.13 0.16
0.01 0.033 1 1 1 1 1 1 1 -12 -32 -16 5 0.16 0.14 0.17
0.01 0.034 1 1 1 1 1 1 1 -12 -31 -16 5 0.16 0.14 0.17
0.01 0.035 1 1 1 1 1 1 1 -11 -29 -14 6 0.16 0.15 0.18
0.01 0.036 1 1 1 1 1 1 1 -11 -30 -14 8 0.19 0.17 0.2
0.01 0.037 1 1 1 1 1 1 1 -10 -30 -13 9 0.21 0.19 0.23
0.01 0.038 1 1 1 1 1 1 1 -11 -30 -14 7 0.19 0.17 0.2
0.01 0.039 1 1 1 1 1 1 1 -10 -29 -13 9 0.2 0.18 0.21
0.01 0.04 1 1 1 1 1 1 1 -9 -28 -14 7 0.19 0.18 0.21
0.02 0.003 0.05 0.04 0.06 0.21 0.1 0.2 0.3 -56 -66 -57 -47 0 0 0
0.02 0.041 1 1 1 1 1 1 1 -9 -27 -13 8 0.2 0.18 0.22
0.02 0.001 0 0 0.01 0.14 0.1 0.1 0.2 -65 -72 -65 -58 0 0 0
0.02 0.002 0.01 0.01 0.01 0.17 0.1 0.2 0.2 -60 -69 -61 -52 0 0 0
0.02 0.004 0.13 0.12 0.15 0.27 0.2 0.2 0.5 -52 -62 -54 -42 0 0 0
0.02 0.005 0.26 0.24 0.28 0.36 0.2 0.2 0.7 -49 -60 -50 -38 0 0 0
0.02 0.006 0.41 0.39 0.43 0.45 0.2 0.4 0.8 -46 -57 -47 -33 0 0 0
0.02 0.007 0.55 0.53 0.57 0.56 0.2 0.6 1 -43 -54 -44 -31 0 0 0.01
0.02 0.008 0.64 0.62 0.66 0.64 0.3 0.7 1 -41 -53 -42 -27 0.01 0 0.01
0.02 0.009 0.76 0.74 0.78 0.72 0.4 0.7 1 -38 -51 -39 -24 0.01 0 0.01
0.02 0.01 0.82 0.8 0.83 0.78 0.5 0.8 1 -36 -50 -38 -22 0.01 0 0.01
0.02 0.011 0.86 0.85 0.88 0.82 0.6 0.9 1 -34 -48 -36 -19 0.01 0.01 0.02
0.02 0.012 0.91 0.9 0.92 0.87 0.6 0.9 1 -32 -48 -34 -16 0.02 0.01 0.03
0.02 0.013 0.93 0.92 0.94 0.89 0.7 1 1 -31 -46 -33 -16 0.02 0.02 0.03
0.02 0.014 0.95 0.94 0.96 0.91 0.7 1 1 -30 -45 -31 -13 0.03 0.02 0.04
0.02 0.015 0.96 0.96 0.97 0.93 0.7 1 1 -28 -44 -29 -11 0.03 0.03 0.04
0.02 0.016 0.97 0.97 0.98 0.94 0.8 1 1 -28 -44 -29 -11 0.03 0.03 0.04
0.02 0.017 0.98 0.97 0.98 0.96 0.8 1 1 -26 -43 -28 -9 0.04 0.03 0.05
0.02 0.018 0.98 0.98 0.99 0.97 0.8 1 1 -24 -41 -26 -7 0.05 0.04 0.05
0.02 0.019 0.98 0.98 0.99 0.97 0.9 1 1 -23 -40 -25 -6 0.06 0.05 0.07
0.02 0.02 0.99 0.98 0.99 0.98 0.9 1 1 -23 -40 -25 -5 0.06 0.05 0.07
0.02 0.021 0.99 0.98 0.99 0.98 0.9 1 1 -21 -39 -24 -5 0.07 0.06 0.08
0.02 0.022 0.99 0.99 1 0.99 1 1 1 -20 -38 -23 -3 0.08 0.07 0.09
0.02 0.023 0.99 0.99 0.99 0.98 1 1 1 -20 -38 -23 -2 0.09 0.07 0.1
0.02 0.024 0.99 0.99 1 0.99 1 1 1 -19 -37 -21 1 0.11 0.1 0.12
0.02 0.025 1 0.99 1 0.99 1 1 1 -19 -36 -21 0 0.1 0.09 0.11
0.02 0.026 1 1 1 0.99 1 1 1 -17 -36 -20 1 0.11 0.1 0.12
0.02 0.027 1 0.99 1 0.99 1 1 1 -17 -35 -20 2 0.12 0.11 0.13
0.02 0.028 1 0.99 1 0.99 1 1 1 -16 -34 -18 0 0.1 0.09 0.11
0.02 0.029 1 1 1 0.99 1 1 1 -16 -34 -18 1 0.11 0.1 0.13
0.02 0.03 1 0.99 1 0.99 1 1 1 -15 -33 -18 2 0.12 0.1 0.13
0.02 0.031 1 1 1 1 1 1 1 -15 -33 -18 3 0.13 0.11 0.14
0.02 0.032 1 0.99 1 1 1 1 1 -14 -32 -18 5 0.15 0.13 0.16
0.02 0.033 1 1 1 1 1 1 1 -13 -32 -16 5 0.17 0.15 0.18
0.02 0.034 0.99 0.99 1 1 1 1 1 -12 -30 -15 7 0.17 0.15 0.19
0.02 0.035 1 1 1 1 1 1 1 -13 -31 -16 6 0.16 0.14 0.17
0.02 0.036 1 1 1 1 1 1 1 -11 -29 -14 7 0.16 0.15 0.18
0.02 0.037 1 1 1 1 1 1 1 -11 -30 -14 6 0.16 0.15 0.17
0.02 0.038 1 1 1 1 1 1 1 -12 -30 -15 7 0.18 0.16 0.2
0.02 0.039 1 1 1 1 1 1 1 -10 -29 -14 8 0.19 0.18 0.21
0.02 0.04 1 1 1 1 1 1 1 -10 -29 -13 7 0.19 0.17 0.21
0.03 0.003 0.04 0.03 0.05 0.2 0.1 0.2 0.2 -57 -66 -58 -48 0 0 0
0.03 0.041 1 1 1 1 1 1 1 -10 -29 -14 8 0.19 0.18 0.21
0.03 0.001 0 0 0.01 0.13 0.1 0.1 0.2 -66 -72 -66 -58 0 0 0
0.03 0.002 0.01 0.01 0.01 0.16 0.1 0.2 0.2 -61 -69 -62 -53 0 0 0
0.03 0.004 0.13 0.11 0.14 0.25 0.1 0.2 0.4 -53 -63 -54 -43 0 0 0
0.03 0.005 0.23 0.21 0.24 0.34 0.2 0.2 0.6 -50 -60 -51 -39 0 0 0
0.03 0.006 0.38 0.36 0.4 0.43 0.2 0.4 0.8 -46 -57 -48 -35 0 0 0
0.03 0.007 0.53 0.51 0.55 0.54 0.2 0.5 0.9 -44 -56 -45 -30 0 0 0
0.03 0.008 0.64 0.63 0.66 0.63 0.3 0.6 1 -42 -54 -43 -29 0 0 0.01
0.03 0.009 0.73 0.71 0.75 0.7 0.3 0.7 1 -39 -53 -40 -24 0.01 0.01 0.01
0.03 0.01 0.81 0.79 0.83 0.76 0.4 0.8 1 -37 -51 -38 -21 0.01 0.01 0.01
0.03 0.011 0.85 0.84 0.87 0.81 0.5 0.9 1 -35 -49 -37 -19 0.02 0.01 0.02
0.03 0.012 0.89 0.88 0.91 0.85 0.6 0.9 1 -33 -48 -35 -18 0.02 0.01 0.02
0.03 0.013 0.92 0.91 0.93 0.88 0.7 1 1 -32 -46 -33 -16 0.01 0.01 0.02
0.03 0.014 0.94 0.93 0.95 0.91 0.7 1 1 -30 -46 -32 -14 0.03 0.02 0.04
0.03 0.015 0.96 0.95 0.97 0.92 0.7 1 1 -28 -44 -31 -12 0.03 0.02 0.04
0.03 0.016 0.96 0.95 0.97 0.94 0.8 1 1 -27 -43 -30 -11 0.03 0.03 0.04
0.03 0.017 0.97 0.96 0.98 0.95 0.8 1 1 -25 -41 -28 -7 0.05 0.04 0.06
0.03 0.018 0.98 0.97 0.98 0.96 0.8 1 1 -25 -41 -27 -9 0.05 0.04 0.06
